#{"t_start": 1764568742.9443257, "env_id": "MyCustomEnv-v0"}
r,l,t
1.035795,2,0.548792
17.6833,20,7.817065
8.10516,11,10.788476
10.594572,14,14.580344
11.113275,14,20.158575
2.950564,4,21.160453
16.823871,20,26.525376
5.699032,7,28.374622
3.274007,5,30.122652
2.698576,4,31.833753
5.264251,7,34.30455
7.396899,10,36.887937
9.729918,11,39.747706
8.331618,10,42.324057
17.317445,20,49.266226
2.672268,4,50.3875
3.995116,5,51.678679
12.005759,14,55.279294
1.17923,2,55.809878
5.50358,7,58.357367
2.75142,4,60.355581
3.216358,5,61.912812
3.574651,5,63.244286
4.820779,6,64.894077
5.598682,7,66.965169
9.545044,11,69.983742
8.183753,11,74.417517
16.303817,20,79.868418
8.363321,10,82.329949
2.678768,4,83.309207
5.505361,7,85.246489
2.690521,4,86.887802
5.98329,8,89.614081
1.199054,2,90.1593
10.750459,14,93.523637
1.178038,2,93.970247
10.053514,13,97.14429
5.753226,7,98.847695
5.202127,7,101.655549
4.871122,7,103.818926
5.308935,7,105.496912
7.574891,10,107.984902
7.308833,9,110.231038
3.315933,5,111.389504
6.613701,8,113.627689
5.598272,7,116.671055
2.173123,3,117.504509
6.552063,8,119.401952
1.05261,2,119.889633
5.096287,7,121.930065
2.766564,4,123.531346
7.565275,10,126.550654
10.041336,12,131.159889
3.213729,5,132.418228
1.661575,3,133.115037
7.265868,10,135.549129
7.915358,9,137.763238
16.481735,20,143.907916
2.880868,4,145.215767
8.555604,10,147.634134
1.141499,2,148.119905
10.424382,13,151.314894
1.788289,3,152.039501
1.927004,3,152.804864
9.117585,12,156.498613
8.050887,11,160.000776
2.004528,3,160.753852
18.390581,20,165.461785
7.894745,10,167.998508
2.731168,4,169.150115
3.901844,5,171.189956
2.565769,4,172.721743
7.126009,9,174.903383
9.254994,11,177.639113
5.724174,7,179.324661
6.772506,8,181.222527
1.963721,3,181.956428
14.596915,16,187.623468
5.645827,7,189.355427
9.656735,11,191.938819
17.666697,20,197.342336
6.646109,8,200.570828
4.53112,6,202.057847
4.598539,6,203.504683
1.775603,3,204.277118
9.804522,12,207.204095
7.867591,10,209.683791
9.101899,12,214.118387
11.808255,15,218.008526
2.840894,4,218.974654
1.173438,2,219.46676
10.935016,14,222.871256
2.126303,3,223.586864
11.131612,13,228.610083
6.957761,8,230.559715
9.856506,12,233.504885
16.709479,20,238.386258
11.83674,15,243.833687
11.087894,14,247.72422
2.929252,4,248.93003
9.266244,11,251.930943
10.476699,13,257.269641
3.752887,5,258.749607
6.464057,8,260.872524
10.778544,14,264.661982
8.373304,11,268.564193
9.308858,12,272.778908
5.317296,7,274.757608
9.640937,12,278.182818
5.028401,7,279.932613
1.994824,3,280.761329
15.180035,17,286.347115
4.407424,6,287.85495
4.442096,6,289.412523
