#{"t_start": 1765163267.5369291, "env_id": "highway-fast-v0"}
r,l,t
10.653281,16,4.253125
5.599057,8,5.532495
10.101064,12,7.57637
21.917122,30,12.636064
1.979507,3,13.167802
4.732106,7,14.756732
8.317552,11,17.852804
5.411444,7,19.113747
17.050621,22,22.90806
9.198214,12,24.753439
5.663387,7,25.840464
22.384372,30,32.446316
2.749108,4,33.080317
6.434447,9,34.58416
9.978212,11,36.277109
10.318941,15,38.59341
8.914311,12,40.491072
3.745595,5,41.252494
4.283602,6,42.179023
3.416884,5,43.443664
8.230175,12,46.580871
7.385378,11,48.24668
7.968078,11,49.916108
2.551019,4,50.576766
2.4,4,51.15894
1.213001,2,51.487594
5.165066,7,52.595551
5.848287,7,53.721484
17.363248,24,58.322737
18.898236,23,63.371087
2.633029,4,64.036797
3.250852,5,64.854778
2.879507,4,65.813006
16.780908,23,70.246487
3.365517,5,71.400435
13.233592,18,75.858535
2.598798,4,76.487113
3.26542,5,77.306078
21.884689,30,82.082263
0.966045,2,82.404849
21.584999,30,89.436317
8.36538,12,91.546035
1.599377,3,92.118241
2.252314,4,92.718157
5.085994,8,94.051003
4.77978,6,95.036099
7.132642,9,96.507336
14.76486,20,99.921071
12.863882,18,104.700705
21.816204,28,109.194112
2.566045,4,109.809454
4.019777,5,110.592848
2.781819,4,111.23803
9.612396,13,113.375695
8.397065,11,116.066119
5.886221,9,118.417496
7.586265,11,120.240264
2.58489,4,120.902869
16.247848,20,124.052092
2.779825,4,124.727295
7.012219,9,126.20001
15.233034,22,131.013689
7.097337,9,133.07951
2.532711,4,133.701624
9.880176,14,136.019942
11.230376,16,138.655375
23.545316,30,144.40262
2.516935,4,145.464933
2.765465,4,146.696006
2.913463,4,147.475069
22.008755,27,151.910587
17.100377,21,155.703085
5.178939,7,157.039988
5.814006,8,159.467636
3.332045,5,160.913584
14.502614,19,163.949372
4.34595,6,164.909821
9.411403,12,166.919278
3.363732,5,167.784271
1.879667,3,168.346504
9.150859,11,170.281492
8.648428,11,172.915773
10.985508,13,176.076841
2.599378,4,176.752296
15.478269,21,180.528715
2.749108,4,181.330942
11.334484,16,184.840156
7.578018,9,187.321712
12.365844,15,191.370289
2.779825,4,192.032861
1.699378,3,192.587952
2.013001,3,193.32748
13.443437,17,196.782348
6.000224,8,198.199118
6.979238,10,199.928504
2.079507,3,200.595361
2.079507,3,201.526086
22.1468,30,208.37516
12.012649,13,210.468609
13.31987,16,212.954775
6.934728,10,214.547052
13.378936,16,218.766
8.751103,13,221.052799
4.518235,6,222.039688
3.046492,4,222.718385
16.277485,21,225.991865
3.565994,5,226.781253
9.080004,12,228.568657
23.298736,30,235.065568
8.445983,10,236.65148
10.578456,13,239.215128
15.046455,21,242.44426
9.046446,11,245.210654
5.646492,7,247.21194
11.111712,14,249.707996
5.06715,7,250.798248
5.202306,7,251.944644
14.378152,18,255.014686
14.079826,20,259.193539
5.666124,9,261.731603
4.563588,6,262.707958
2.779825,4,263.386666
3.035954,5,264.239072
22.377486,30,269.17802
3.58595,6,270.144349
7.166631,10,271.834801
4.812651,6,273.690143
2.952639,4,274.821889
18.715539,26,279.7967
5.70115,9,281.234094
12.619284,18,284.060813
6.320221,10,285.683644
4.985914,8,287.931853
10.199728,13,291.615645
3.64495,5,292.432017
7.985493,11,294.251812
5.451242,7,295.483302
3.479507,5,296.32995
1.880129,3,296.776855
2.517254,4,297.431975
19.545511,22,301.263732
2.649148,4,302.405444
8.498538,11,305.299144
4.779825,6,306.278628
13.785058,19,309.334793
10.619156,13,311.480245
7.145552,9,312.938091
13.298745,17,316.189016
3.514487,5,317.542459
5.632059,8,319.531597
2.618405,4,320.14367
5.966364,9,321.593892
20.543791,28,325.987468
11.342612,14,328.220542
3.779314,5,329.022373
4.686218,7,330.862717
3.666709,6,332.504238
4.385132,6,333.788679
5.730662,8,335.090768
16.60928,21,338.562083
4.535646,7,339.98579
3.730054,5,340.887125
1.8,3,341.412353
7.048007,9,343.226261
3.613503,5,344.763396
11.345842,14,348.437139
2.179507,3,348.939434
2.046796,3,349.470645
2.465465,4,350.199085
2.749108,4,350.838946
13.366369,19,353.939164
6.700005,9,355.847357
4.281779,6,356.873034
3.24969,5,357.70757
15.016308,18,362.582292
11.334212,16,365.111211
17.57775,20,369.203686
3.38187,5,370.211502
12.065582,15,372.855546
2.153097,3,373.691298
13.131284,18,377.632873
3.451072,5,378.425765
10.235383,15,381.026207
1.246796,2,381.397127
9.046445,10,383.08299
1.864354,3,383.588828
11.030266,14,385.961128
3.232711,5,387.236706
3.630094,5,388.620754
6.645863,8,390.672372
18.042296,22,433.524074
2.432711,4,434.523742
21.482409,30,439.763531
1.799377,3,440.258732
14.163083,20,443.608603
12.219306,15,447.924696
10.517678,13,450.360177
10.446039,14,452.678513
22.919129,30,458.106627
20.100529,28,465.223276
15.908984,21,468.901733
6.452932,10,470.759569
6.035103,9,472.295129
4.513508,6,473.320857
23.617493,30,480.692467
22.418403,30,485.921211
12.678734,16,489.038745
4.718004,7,491.418831
8.186264,12,494.510177
13.713903,18,497.912071
8.886841,11,500.397561
19.053207,28,508.021179
2.680129,4,508.745892
8.74965,12,511.870102
11.952311,17,515.456005
9.420172,14,519.210662
5.88457,9,523.045641
15.945325,20,527.68106
22.297377,30,532.91844
15.51202,20,539.320203
3.752885,6,540.375411
3.120175,5,541.181973
22.299655,30,546.171632
5.197734,8,548.073111
4.912689,6,550.803588
2.466045,4,552.214128
6.619653,10,554.937167
2.930717,4,555.641078
2.76573,4,556.360371
19.931813,28,561.501722
10.049297,12,563.777356
3.2,5,565.240182
4.515775,6,566.952151
20.901385,30,572.255209
18.385106,24,576.269656
4.866062,7,577.322837
17.131477,22,582.979752
1.865041,3,583.462801
8.783134,11,585.15552
20.985946,30,590.349474
21.385952,30,597.917442
20.01543,28,602.749202
2.120175,4,603.366201
5.23599,8,604.596487
7.819874,12,606.690775
21.652089,30,614.622436
8.885686,13,616.949123
2.912841,4,617.605795
4.411537,6,618.683445
3.398177,5,619.931631
8.235644,12,622.782626
4.384987,6,624.694007
8.602662,13,628.2357
14.051997,18,632.076534
18.479465,25,637.276313
4.800304,7,640.311079
8.817213,13,643.466542
5.579662,7,644.751161
22.833554,30,650.941653
16.112617,22,657.215096
7.966219,11,659.415111
6.469329,9,661.251724
2.633333,4,662.229892
22.24884,30,671.597692
21.998115,30,678.95902
8.168707,11,682.356769
7.8687,12,687.576105
4.333074,7,689.739391
2.013463,3,690.509502
5.63239,7,692.308106
5.215815,7,693.9051
3.679507,5,695.32442
1.915775,3,696.393245
1.685914,3,697.492398
2.564354,4,698.627507
22.818817,30,706.956166
19.6322,27,713.554187
11.599152,17,718.845399
8.434641,10,720.771808
6.769322,10,723.409091
2.648486,4,724.373609
11.232102,16,728.011152
9.332059,13,732.065627
17.566789,22,737.357384
4.469286,7,738.69974
16.682508,21,742.278907
10.083562,14,744.695407
15.998899,21,750.534768
3.552475,5,751.361187
3.696881,5,752.213373
21.818386,30,756.964518
4.964054,7,758.375165
3.585647,6,759.963819
14.244467,17,764.682634
2.433333,4,765.314241
3.480129,5,766.086057
20.751357,27,770.279791
23.951363,30,776.123125
7.677959,10,778.515401
2.316936,4,779.133402
19.850991,27,783.292058
9.432713,13,785.405025
16.30032,21,790.190148
3.299377,5,791.622638
23.011687,29,796.695873
11.052657,16,799.554935
3.986219,6,800.710789
2.549108,4,801.485285
12.410611,14,805.269042
3.882163,6,807.110151
12.719321,19,810.151394
22.835326,30,814.976635
1.313463,2,815.304297
20.076703,26,821.356488
6.450846,9,822.799811
6.819864,9,824.250425
15.051668,20,828.299178
8.567017,13,831.104616
4.4,6,832.783924
21.066039,28,838.565577
14.446761,20,842.531199
9.999727,14,844.847633
14.199383,19,849.874361
2.153097,3,850.367123
22.551103,30,856.093493
7.851793,10,857.795954
21.867418,29,865.238793
20.99663,29,869.764178
7.100877,10,871.353641
2.632132,4,871.947518
5.412646,7,873.004129
4.032758,6,873.884168
2.499377,4,874.564223
21.418715,30,919.252861
21.319331,30,924.958773
7.398797,10,926.537333
18.415735,25,930.479126
8.368979,12,933.071492
21.485368,30,938.699417
7.88502,12,940.559489
1.765465,3,941.014789
2.018315,3,941.47089
10.500305,16,943.88595
20.453549,30,950.254709
4.953549,8,951.47001
22.018985,30,956.075112
3.985914,6,957.012079
23.11975,30,963.34645
21.285076,30,968.185745
21.651413,30,972.80278
23.464161,30,979.090509
21.246484,28,983.407951
16.233387,23,986.915416
7.952932,12,989.4351
22.598218,29,995.052869
8.067507,11,996.739674
20.453247,30,1001.26974
6.784573,10,1003.266586
4.62022,7,1005.139055
22.595656,30,1010.176981
22.050501,30,1014.712041
20.918978,30,1021.027626
13.513877,19,1023.987432
21.486888,30,1028.677325
6.246842,9,1030.153138
6.951974,9,1032.511323
21.252038,30,1037.897861
13.732673,18,1040.596149
9.914536,14,1042.79057
8.086264,12,1044.841594
9.652623,14,1048.48145
2.352615,4,1049.109934
8.697877,12,1050.884576
17.166713,25,1054.726398
12.146842,18,1057.5126
3.869278,6,1058.544651
21.953199,30,1065.179881
10.281584,14,1067.631752
4.313001,6,1068.569112
23.230563,30,1074.170622
22.153555,30,1080.534847
8.883243,12,1082.456735
18.778549,24,1086.436588
2.599378,4,1087.087987
21.152889,30,1093.753387
6.253206,10,1095.293392
6.601766,10,1096.84179
5.952356,9,1098.2432
21.919598,30,1104.522512
3.718653,6,1105.985229
12.268132,19,1108.985407
21.151456,30,1113.828604
9.644956,12,1115.674968
10.435996,15,1119.811463
18.552272,25,1123.551127
21.366667,30,1128.127523
21.118367,30,1134.544159
17.335949,25,1138.365694
10.880084,14,1140.498159
8.151241,11,1142.197153
21.552661,30,1148.640867
3.465423,5,1149.457889
10.177688,14,1151.601977
11.349975,16,1153.999764
21.085102,30,1159.279226
9.119327,13,1162.552969
10.600351,16,1165.030698
3.982164,6,1165.983095
7.348504,10,1167.547119
20.48658,30,1172.289673
4.015819,6,1173.892648
8.184576,11,1176.621697
23.184717,30,1181.337341
20.986883,30,1185.892755
9.200044,13,1189.111068
4.797343,6,1190.572946
3.432711,5,1191.346654
5.065422,7,1192.469386
16.780006,21,1195.704551
16.246757,23,1199.326134
3.018361,5,1200.117787
10.379208,14,1203.741005
21.33382,30,1208.778203
12.016954,17,1211.359756
4.050886,6,1212.267475
13.863693,19,1215.575585
8.367017,12,1218.704853
11.2517,16,1221.117863
4.085875,6,1222.079133
23.034856,30,1226.591099
6.767507,10,1228.208094
12.081594,17,1232.535098
23.518104,30,1237.245104
