#{"t_start": 1764556712.1735742, "env_id": "MyCustomEnv-v0"}
r,l,t
1.994824,3,2.126633
11.460667,14,7.17266
16.722471,20,12.255838
4.499944,6,14.750725
2.538643,4,15.964827
9.463406,12,18.825705
2.752081,4,19.750632
9.033825,11,22.322464
5.75936,7,23.994116
3.460567,5,25.222466
3.905391,5,27.003618
9.059413,12,30.7835
8.863374,11,33.421493
3.385579,5,34.642192
5.563602,7,36.341735
1.850913,3,37.040819
17.552482,20,43.412857
2.812628,4,44.403612
6.626582,9,46.527522
1.732693,3,47.223959
5.372291,7,48.801549
8.39771,10,51.178904
2.852214,4,52.168337
9.81753,12,56.348189
3.789104,5,57.81749
10.021958,11,60.363122
8.391906,10,62.651519
10.817561,14,65.997239
5.936184,8,68.476829
9.127872,12,72.185888
2.726415,4,73.181887
1.170078,2,73.714194
7.373126,9,75.783986
6.459614,8,77.649539
9.417763,12,80.512045
16.65496,20,86.87208
9.333952,11,89.475551
5.619512,7,91.134532
8.453707,11,93.794973
3.82091,5,95.173478
3.326209,5,97.146242
7.79038,10,101.246011
5.612169,7,104.050884
9.210644,11,106.685172
6.644795,8,108.537755
1.960202,3,109.527643
9.526667,11,113.501463
1.106944,2,113.967258
10.456552,13,117.109583
11.290459,15,120.608345
9.178988,12,123.928285
8.435374,11,127.636861
6.371242,8,129.555768
5.141657,7,131.1917
1.779033,3,131.914176
0.994635,2,132.391812
8.774066,11,134.988458
3.452086,5,136.153106
5.624044,7,138.634583
3.853031,5,140.567647
7.513014,10,142.958917
17.131765,20,147.849048
8.868239,12,150.859165
10.176815,12,155.27881
8.015224,10,157.753757
9.681488,12,160.614915
3.9492,5,161.720464
8.960282,11,164.305783
4.549658,6,166.753464
3.242935,4,168.338799
7.240008,9,170.441963
5.364514,7,172.051248
3.728435,5,173.27366
3.504168,5,174.456222
2.115318,3,175.230457
9.646519,12,178.138351
9.141033,11,182.289203
7.779905,10,184.618468
11.700775,14,187.988697
9.742678,12,190.887855
4.552758,6,192.4733
5.701038,7,195.260692
10.508701,13,198.693478
5.459908,7,200.333118
4.116791,6,201.746294
9.899171,13,204.803746
10.682619,13,209.294228
9.657881,12,212.344791
10.471812,13,215.449733
0.976136,2,215.953363
6.82399,8,217.820302
4.40975,6,219.163699
17.652078,20,225.537423
3.653554,5,226.669778
5.575701,7,228.325378
11.023967,14,231.7312
2.797871,4,232.733767
2.63897,4,233.733501
8.013618,10,237.611542
1.741266,3,238.368626
1.796815,3,239.075203
9.846121,12,241.91278
7.777285,10,244.31945
2.947048,4,245.248153
6.383339,8,247.170204
17.203813,20,253.677678
17.562863,20,258.423513
8.156474,10,260.99791
4.165806,6,263.483279
18.808982,20,269.056568
6.197641,8,271.022931
7.536215,10,273.469297
16.341152,19,279.556831
